Merged: @autohelperendpat22, @autohelperendpat55 = @autohelperendpat22
Merged: @autohelperowl_defendpat134, @autohelperowl_defendpat135 = @autohelperowl_defendpat134
Merged: @autohelperpat35, @autohelperpat36 = @autohelperpat35
Merged: @autohelperpat35, @autohelperpat37 = @autohelperpat35
Merged: @autohelperowl_attackpat87, @autohelperowl_defendpat359 = @autohelperowl_attackpat87
Merged: @autohelperowl_defendpat312, @autohelperowl_defendpat366 = @autohelperowl_defendpat312
Merged: @autohelperinfluencepat19, @autohelperinfluencepat21 = @autohelperinfluencepat19
Merged: @autohelperinfluencepat20, @autohelperinfluencepat22 = @autohelperinfluencepat20
Merged: @autohelperpat832, @autohelperpat862 = @autohelperpat832
Merged: @autohelperpat977, @autohelperpat983 = @autohelperpat977
Merged: @autohelperowl_attackpat312, @autohelperowl_attackpat313 = @autohelperowl_attackpat312
Merged: @autohelperpat795, @autohelperpat797 = @autohelperpat795
Merged: @autohelperowl_attackpat195, @autohelperowl_attackpat196 = @autohelperowl_attackpat195
Merged: @autohelperpat334, @autohelperpat335 = @autohelperpat334
Merged: @autohelperpat334, @autohelperpat336 = @autohelperpat334
Merged: @autohelperowl_attackpat314, @autohelperowl_attackpat315 = @autohelperowl_attackpat314
Merged: @autohelperowl_attackpat314, @autohelperowl_attackpat316 = @autohelperowl_attackpat314
Merged: @autohelperowl_attackpat314, @autohelperowl_attackpat317 = @autohelperowl_attackpat314
Merged: @autohelperfusekipat100, @autohelperfusekipat101 = @autohelperfusekipat100
Merged: @autohelperendpat42, @autohelperpat63 = @autohelperendpat42
Merged: @autohelperendpat42, @autohelperpat456 = @autohelperendpat42
Merged: @autohelperendpat42, @autohelperpat459 = @autohelperendpat42
Merged: @autohelperendpat42, @autohelperpat460 = @autohelperendpat42
Merged: @autohelperendpat42, @autohelperpat463 = @autohelperendpat42
Merged: @autohelperendpat42, @autohelperpat464 = @autohelperendpat42
Merged: @autohelperpat761, @autohelperpat827 = @autohelperpat761
Merged: @autohelperowl_attackpat28, @autohelperpat115 = @autohelperowl_attackpat28
Merged: @autohelperowl_attackpat112, @autohelperpat761 = @autohelperowl_attackpat112
Merged: @autohelperowl_attackpat122, @autohelperpat661 = @autohelperowl_attackpat122
